JIMKGZ;;21 abr 12:00 Hamburg;;;21 abr 13:10 Frankfurt;;21-04-2017 12:00;21-04-2017 13:10;0;R$;260.15
VDIYJK;;21 abr 22:15 Frankfurt;;;22 abr 05:05 Rio De Janeiro;;21-04-2017 22:15;22-04-2017 05:05;0;R$;3104.39
TKBPPE;;11 mai 20:40 Rio De Janeiro;;;12 mai 05:00 Houston;;11-05-2017 20:40;12-05-2017 05:00;0;R$;3743.13
TKBPPE;;20 mai 16:30 Houston;;;20 mai 20:33 Washington;;20-05-2017 16:30;20-05-2017 20:33;0;R$;3743.13
TKBPPE;;20 mai 22:00 Washington;;;21 mai 08:55 Sao Paulo;;20-05-2017 22:00;21-05-2017 08:55;0;R$;3743.13
TKBPPE;;21 mai 13:10 Sao Paulo;;;21 mai 14:15 Rio De Janeiro;;21-05-2017 13:10;21-05-2017 14:15;0;R$;3743.13
JCOTNJ;;Jun 30 18:10 Houston;;;Jul 1 11:15 Frankfurt;;30-06-2017 18:10;01-07-2017 11:15;0;$;1845
PWUVLU;;Jul 5 11:15 Frankfurt;;;Jul 5 12:10 Munich;;05-07-2017 11:15;05-07-2017 12:10;0;$;127
PWUVLU;;Jul 5 15:15 Munich;;;Jul 5 16:50 Bari;;05-07-2017 15:15;05-07-2017 16:50;0;$;127
PWUVLU;;Jul 9 11:50 Bari;;;Jul 9 13:30 Munich;;09-07-2017 11:50;09-07-2017 13:30;0;$;127
PWUVLU;;Jul 9 15:00 Munich;;;Jul 9 16:00 Frankfurt;;09-07-2017 15:00;09-07-2017 16:00;0;$;127
JCOTNJ;;Jul 20 22:15 Frankfurt;;;Jul 21 05:05 Rio De Janeiro;;20-07-2017 22:15;21-07-2017 05:05;0;$;1845
LRQDSO;;Aug 13 13:30 Belo Horizonte;;;Aug 13 14:50 Sao Paulo;;13-08-2017 13:30;13-08-2017 14:50;0;$;1489
LRQDSO;;Aug 13 18:15 Sao Paulo;;;Aug 14 10:45 Frankfurt;;13-08-2017 18:15;14-08-2017 10:45;0;$;1489
YULZTL;;Aug 25 19:20 Frankfurt;;;Aug 25 20:35 Berlin;;25-08-2017 19:20;25-08-2017 20:35;0;$;24
LRQDSO;;Sep 15 20:00 Hamburg;;;Sep 15 21:10 Frankfurt;;15-09-2017 20:00;15-09-2017 21:10;0;$;1489
LRQDSO;;Sep 15 22:15 Frankfurt;;;Sep 16 05:05 Rio De Janeiro;;15-09-2017 22:15;16-09-2017 05:05;0;$;1489
LRQDSO;;Sep 16 10:45 Rio De Janeiro;;;Sep 16 11:55 Belo Horizonte;;16-09-2017 10:45;16-09-2017 11:55;0;$;1489
UQIZST;;Jan 15 07:50 Houston;;;Jan 15 10:05 St Louis;;15-01-2018 07:50;15-01-2018 10:05;0;$;527.3
UQIZST;;Jan 16 18:32 St Louis;;;Jan 16 20:45 Houston;;16-01-2018 18:32;16-01-2018 20:45;0;$;527.3
UGDKSE;;Jan 17 21:20 St Louis;;;Jan 17 23:25 Houston;;17-01-2018 21:20;17-01-2018 23:25;0;$;278.38
MIDFMU;;Feb 3 16:10 Houston;;;Feb 4 08:45 Frankfurt;;03-02-2018 16:10;04-02-2018 08:45;0;$;2387.83
MIDFMU;;Feb 4 11:15 Frankfurt;;;Feb 4 13:15 Naples;;04-02-2018 11:15;04-02-2018 13:15;0;$;2387.83
MIDFMU;;Feb 9 12:10 Bari;;;Feb 9 13:55 Munich;;09-02-2018 12:10;09-02-2018 13:55;0;$;2387.83
MIDFMU;;Feb 9 15:45 Munich;;;Feb 9 18:55 Chicago;;09-02-2018 15:45;09-02-2018 18:55;0;$;2387.83
MIDFMU;;Feb 9 20:35 Chicago;;;Feb 9 23:24 Houston;;09-02-2018 20:35;09-02-2018 23:24;0;$;2387.83
UFQSZB;;Mar 18 18:05 Houston;;;Mar 18 21:06 Atlanta;;18-03-2018 18:05;18-03-2018 21:06;0;$;296.34
UFQSZB;;Mar 20 18:17 Atlanta;;;Mar 20 19:41 Houston;;20-03-2018 18:17;20-03-2018 19:41;0;$;296.34
MSFTXE;;Apr 23 18:10 Houston;;;Apr 24 11:15 Frankfurt;;23-04-2018 18:10;24-04-2018 11:15;0;$;1151
MSFTXE;;May 4 13:35 Frankfurt;;;May 4 17:40 Houston;;04-05-2018 13:35;04-05-2018 17:40;0;$;1151
QQKDZD;;May 29 13:05 Houston;;;May 29 17:42 Montreal;;29-05-2018 13:05;29-05-2018 17:42;0;$;1234.2
QQKDZD;;Jun 1 09:05 Montreal;;;Jun 1 12:19 Houston;;01-06-2018 09:05;01-06-2018 12:19;0;$;1234.2
CZBQCN;;Sep 25 19:55 Houston;;;Sep 25 22:56 Atlanta;;25-09-2018 19:55;25-09-2018 22:56;0;$;328.62
CZBQCN;;Sep 27 18:50 Atlanta;;;Sep 27 20:04 Houston;;27-09-2018 18:50;27-09-2018 20:04;0;$;328.62
LWSMLG;;Oct 22 07:40 Houston;;;Oct 22 09:51 St Louis;;22-10-2018 07:40;22-10-2018 09:51;0;$;577.85
LWSMLG;;Oct 25 18:40 St Louis;;;Oct 25 20:47 Houston;;25-10-2018 18:40;25-10-2018 20:47;0;$;577.85
PQNPDU;;Dec 17 07:25 Houston;;;Dec 17 11:38 Philadelphia;;17-12-2018 07:25;17-12-2018 11:38;0;$;315.02
PQQMTG;;Dec 18 21:00 Philadelphia;;;Dec 18 23:56 Houston;;18-12-2018 21:00;18-12-2018 23:56;0;$;329.56
IGOQQD;;Mar 17 20:00 Houston;;;Mar 18 11:40 Frankfurt;;17-03-2019 20:00;18-03-2019 11:40;0;$;708
IGOQQD;;Mar 22 13:50 Frankfurt;;;Mar 22 19:15 Houston;;22-03-2019 13:50;22-03-2019 19:15;0;$;708
SUGMMK;;Mar 31 11:45 Houston;;;Mar 31 16:23 Montreal;;31-03-2019 11:45;31-03-2019 16:23;0;$;1336.2
SUGMMK;;Apr 4 17:00 Montreal;;;Apr 4 20:12 Houston;;04-04-2019 17:00;04-04-2019 20:12;0;$;1336.2
HGSHCJ;;Apr 8 07:20 Houston;;;Apr 8 10:20 Atlanta;;08-04-2019 07:20;08-04-2019 10:20;0;$;261.28
HGSHCJ;;Apr 11 16:55 Atlanta;;;Apr 11 18:15 Houston;;11-04-2019 16:55;11-04-2019 18:15;0;$;261.28
KBYNYI;;May 11 18:25 Houston;;;May 12 11:15 Frankfurt;;11-05-2019 18:25;12-05-2019 11:15;0;$;1261
KBYNYI;;May 12 13:00 Frankfurt;;;May 12 14:05 Hamburg;;12-05-2019 13:00;12-05-2019 14:05;0;$;1261
KBYNYI;;May 18 06:00 Hamburg;;;May 18 07:10 Frankfurt;;18-05-2019 06:00;18-05-2019 07:10;0;$;1261
KBYNYI;;May 18 10:00 Frankfurt;;;May 18 13:50 Houston;;18-05-2019 10:00;18-05-2019 13:50;0;$;1261
BDUFXQ;;Jun 26 18:25 Houston;;;Jun 27 11:15 Frankfurt;;26-06-2019 18:25;27-06-2019 11:15;0;$;1302
BDUFXQ;;Jun 27 13:00 Frankfurt;;;Jun 27 14:05 Hamburg;;27-06-2019 13:00;27-06-2019 14:05;0;$;1302
BDALKC;;Jun 30 19:00 Hamburg;;;Jun 30 20:10 Frankfurt;;30-06-2019 19:00;30-06-2019 20:10;0;$;194
BDUFXQ;;Jul 13 09:15 Frankfurt;;;Jul 13 10:10 Munich;;13-07-2019 09:15;13-07-2019 10:10;0;$;1750
BDUFXQ;;Jul 13 11:40 Munich;;;Jul 13 16:10 Houston;;13-07-2019 11:40;13-07-2019 16:10;0;$;1750
BDUFXQ;;Jul 19 10:00 Frankfurt;;;Jul 19 13:50 Houston;;19-07-2019 10:00;19-07-2019 13:50;0;$;1302
QNTKWC;;Aug 4 20:11 Houston;;;Aug 4 22:45 Chicago;;04-08-2019 20:11;04-08-2019 22:45;0;$;311.29
QNTKWC;;Aug 9 16:05 Chicago;;;Aug 9 18:57 Houston;;09-08-2019 16:05;09-08-2019 18:57;0;$;311.29
KFISQI;;Sep 22 21:30 Houston;;;Sep 22 22:37 Baton Rouge;;22-09-2019 21:30;22-09-2019 22:37;0;$;341.03
KFISQI;;Sep 26 16:02 Baton Rouge;;;Sep 26 17:22 Houston;;26-09-2019 16:02;26-09-2019 17:22;0;$;341.03
SFGTOZ;;Oct 21 18:30 Houston;;;Oct 21 20:34 St Louis;;21-10-2019 18:30;21-10-2019 20:34;0;$;346.42
SFGTOZ;;Oct 23 18:30 St Louis;;;Oct 23 20:49 Houston;;23-10-2019 18:30;23-10-2019 20:49;0;$;346.42
